Claim_ID,Policy_ID,Accident_Date,FNOL_Date,Claim_Type,Claim_Complexity,Fraud_Flag,Litigation_Flag,Estimated_Claim_Amount,Ultimate_Claim_Amount,Severity_Band,Settlement_Date,Status
CLM30050,POL11426,2022-01-01,2022-01-06,Collision,Low,False,True,3912,3514.0,Minor,2022-02-16,settled
CLM30051,POL12943,2025-08-26,2025-08-26,Weather,Low,False,False,3798,3378.0,Minor,2025-10-30,settled
CLM30052,POL12849,2022-10-09,2022-10-09,Collision,Low,False,False,4093,3294.0,Moderate,2022-12-04,settled
CLM30053,POL11567,2025-03-10,2025-03-12,Fire,Low,False,False,36763,,Moderate,,open
CLM30054,POL11286,2020-11-14,2020-11-15,Collision,Low,False,False,3203,2622.0,Minor,2021-02-01,settled
CLM30055,POL13260,2019-06-30,2019-07-03,Collision,Low,False,True,1686,1030.0,Minor,2019-09-28,settled
CLM30056,POL12025,2019-03-25,2019-03-27,Weather,Medium,False,False,67535,61698.0,Severe,2019-09-12,settled
CLM30057,POL11511,2021-04-09,2021-04-13,Fire,Low,False,False,14073,9855.0,Minor,2021-05-31,settled
CLM30058,POL11854,2021-12-17,2021-12-23,Theft,Low,False,False,6428,5137.0,Minor,2022-03-09,settled
CLM30059,POL12639,2019-08-11,2019-08-11,Vandalism,Low,False,False,2570,1653.0,Moderate,2019-11-15,settled
CLM30060,POL14434,2021-04-29,2021-04-29,Vandalism,Low,False,False,3136,2767.0,Moderate,2021-06-12,settled
CLM30061,POL12312,2019-11-06,2019-11-07,Theft,Medium,False,True,13429,10357.0,Moderate,2020-03-03,settled
CLM30062,POL12444,2022-12-23,2022-12-24,Theft,High,False,False,135828,142362.0,Severe,2023-11-05,settled
CLM30063,POL12429,2021-10-31,2021-10-31,Vandalism,Low,False,False,1620,849.0,Minor,2022-01-22,settled
CLM30064,POL11062,2023-10-20,2023-10-20,Weather,Low,False,False,2397,2077.0,Minor,2023-12-28,settled
CLM30065,POL14272,2022-10-22,2022-10-24,Collision,Low,False,False,8727,7680.0,Moderate,2023-01-03,settled
CLM30066,POL12417,2020-07-16,2020-07-18,Collision,Medium,False,False,1261,928.0,Minor,2020-12-11,settled
CLM30067,POL10018,2022-11-13,2022-11-14,Collision,Low,False,False,10838,10726.0,Major,2022-12-27,settled
CLM30068,POL14427,2022-09-13,2022-09-19,Collision,Low,False,False,9967,9338.0,Major,2022-11-26,settled
CLM30069,POL11529,2021-01-24,2021-01-24,Collision,Low,False,False,5099,4449.0,Moderate,2021-04-05,settled
CLM30070,POL12575,2021-09-16,2021-09-22,Collision,Low,False,False,1255,771.0,Minor,2021-12-16,settled
CLM30071,POL14209,2019-07-08,2019-07-10,Collision,Medium,False,False,1513,838.0,Minor,2019-11-08,settled
CLM30072,POL12207,2025-07-19,2025-07-20,Collision,Low,False,True,6707,4148.0,Moderate,2025-09-16,settled
CLM30073,POL14108,2020-08-19,2020-08-19,Collision,Low,False,False,1840,1001.0,Minor,2020-11-10,settled
CLM30074,POL10254,2024-09-14,2024-09-14,Fire,Medium,False,False,11667,8850.0,Minor,2024-12-26,settled
CLM30075,POL14830,2021-06-17,2021-06-19,Collision,Low,False,False,3717,2859.0,Moderate,2021-08-15,settled
CLM30076,POL12263,2020-07-19,2020-07-19,Collision,Low,True,False,1542,915.0,Minor,2020-08-27,settled
CLM30077,POL14880,2023-11-25,2023-11-26,Collision,Low,False,False,2804,1649.0,Minor,2024-02-19,settled
CLM30078,POL10368,2022-12-21,2022-12-21,Collision,Low,False,False,4077,3415.0,Moderate,2023-02-25,settled
CLM30079,POL10744,2021-09-28,2021-09-28,Vandalism,Medium,False,False,1759,1214.0,Minor,2022-01-08,settled
CLM30080,POL11012,2024-12-17,2024-12-19,Theft,Low,False,False,5502,3764.0,Minor,2025-03-15,settled
CLM30081,POL12866,2021-03-06,2021-03-09,Collision,Low,False,False,11592,14178.0,Major,2021-05-07,settled
CLM30082,POL13055,2022-05-09,2022-05-09,Collision,Low,False,False,4951,3309.0,Moderate,2022-06-20,settled
CLM30083,POL10991,2019-05-06,2019-05-06,Collision,Low,False,False,1818,1382.0,Minor,2019-06-18,settled
CLM30084,POL12847,2021-04-14,2021-04-14,Collision,Medium,False,False,1983,1295.0,Minor,2021-07-07,settled
CLM30085,POL14965,2019-01-28,2019-01-31,Collision,Low,False,False,1911,1195.0,Minor,2019-03-26,settled
CLM30086,POL14544,2022-04-03,2022-04-05,Collision,Medium,False,False,3671,,Moderate,,open
CLM30087,POL12509,2023-03-20,2023-03-23,Weather,Low,False,False,5534,4161.0,Moderate,2023-05-12,settled
CLM30088,POL12296,2021-09-19,2021-09-26,Collision,Low,False,False,2720,1424.0,Minor,2021-11-01,settled
CLM30089,POL14197,2019-06-17,2019-06-19,Theft,Medium,False,False,8743,7386.0,Moderate,2019-10-19,settled
CLM30090,POL14071,2021-01-30,2021-01-31,Collision,Medium,False,False,3344,2742.0,Moderate,2021-07-04,settled
CLM30091,POL14545,2025-01-28,2025-01-29,Theft,Low,False,False,13726,16564.0,Moderate,2025-03-17,settled
CLM30092,POL11593,2022-03-30,2022-04-01,Collision,Low,False,True,1970,1003.0,Minor,2022-06-12,settled
CLM30093,POL10238,2021-02-05,2021-02-07,Theft,Low,False,False,4751,,Minor,,open
CLM30094,POL10630,2024-04-24,2024-04-29,Collision,Low,False,False,3884,,Moderate,,open
CLM30095,POL12065,2023-02-25,2023-02-25,Collision,Low,False,False,2094,1252.0,Minor,2023-04-27,settled
CLM30096,POL11836,2023-11-11,2023-11-18,Vandalism,Low,False,False,5172,,Major,,open
CLM30097,POL11717,2020-04-26,2020-04-27,Collision,Medium,False,False,3431,2809.0,Minor,2020-09-27,settled
CLM30098,POL14018,2021-09-07,2021-09-13,Collision,Low,False,False,2364,3455.0,Minor,2021-11-10,settled
CLM30099,POL13508,2020-04-12,2020-04-13,Collision,Medium,False,False,9900,10522.0,Major,2020-10-15,settled
CLM30100,POL12775,2021-06-25,2021-06-25,Collision,High,False,False,13811,13620.0,Major,2022-01-09,settled
CLM30101,POL11800,2025-01-04,2025-01-04,Collision,High,False,False,127927,132135.0,Catastrophic,2025-05-12,settled
CLM30102,POL11416,2024-10-04,2024-10-04,Weather,Low,False,False,3045,1841.0,Minor,2024-11-24,settled
CLM30103,POL11269,2021-08-30,2021-08-30,Collision,High,False,False,36216,32203.0,Severe,2022-03-10,settled
CLM30104,POL12455,2025-04-09,2025-04-14,Collision,Low,False,False,3864,3596.0,Moderate,2025-05-28,settled
CLM30105,POL11342,2023-07-09,2023-07-12,Collision,Low,False,False,2661,1359.0,Minor,2023-08-30,settled
CLM30106,POL11962,2025-04-05,2025-04-05,Collision,Low,False,False,2335,1278.0,Minor,2025-06-03,settled
CLM30107,POL11272,2023-03-12,2023-03-12,Weather,Low,False,False,3706,2889.0,Minor,2023-05-25,settled
CLM30108,POL13163,2022-10-10,2022-10-10,Fire,Low,False,False,15836,8661.0,Minor,2022-12-14,settled
CLM30109,POL13297,2021-03-05,2021-03-10,Collision,Low,False,False,1939,1122.0,Minor,2021-04-17,settled
CLM30110,POL12103,2020-04-07,2020-04-08,Fire,Low,False,False,12508,7177.0,Minor,2020-05-13,settled
CLM30111,POL11644,2024-06-06,2024-06-06,Other,Low,False,False,2588,1696.0,Minor,2024-07-11,settled
CLM30112,POL10990,2024-04-01,2024-04-01,Weather,Low,False,False,7317,6204.0,Moderate,2024-05-12,settled
CLM30113,POL11684,2019-09-26,2019-09-26,Fire,Medium,False,False,140479,107619.0,Major,2019-12-22,settled
CLM30114,POL13439,2019-03-30,2019-03-30,Collision,Medium,False,False,10986,8635.0,Major,2019-08-24,settled
CLM30115,POL11254,2019-12-12,2019-12-12,Other,Low,False,False,3119,2714.0,Minor,2020-03-05,settled
CLM30116,POL10241,2020-06-06,2020-06-06,Other,Low,False,False,19371,17925.0,Major,2020-09-30,settled
CLM30117,POL10877,2020-07-05,2020-07-08,Collision,Low,False,False,2133,3079.0,Minor,2020-08-08,settled
CLM30118,POL12717,2023-06-14,2023-06-15,Collision,Low,False,False,5605,3721.0,Moderate,2023-08-06,settled
CLM30119,POL14863,2025-05-27,2025-05-30,Collision,Medium,False,False,15231,13654.0,Major,2025-12-09,settled
CLM30120,POL14689,2019-06-06,2019-06-09,Vandalism,Low,False,False,1574,1033.0,Moderate,2019-09-05,settled
CLM30121,POL14755,2023-01-12,2023-01-13,Collision,Low,False,False,3236,2540.0,Minor,2023-03-18,settled
CLM30122,POL13356,2022-12-30,2023-01-01,Other,Low,False,False,2338,2065.0,Minor,2023-02-05,settled
CLM30123,POL11698,2025-05-25,2025-05-29,Weather,Low,False,False,6668,4691.0,Moderate,2025-08-07,settled
CLM30124,POL12555,2023-12-19,2024-01-18,Collision,High,False,False,13322,12469.0,Major,2024-06-13,settled
CLM30125,POL11925,2024-08-25,2024-08-27,Collision,Medium,False,False,2507,1490.0,Minor,2024-11-13,settled
CLM30126,POL14221,2021-07-14,2021-07-14,Collision,Low,False,False,1835,1486.0,Minor,2021-08-25,settled
CLM30127,POL10636,2024-12-02,2024-12-02,Other,High,False,False,61509,53125.0,Severe,2025-09-05,settled
CLM30128,POL10755,2018-11-05,2018-11-09,Weather,Low,False,False,2428,1327.0,Minor,2018-12-10,settled
CLM30129,POL13797,2020-01-01,2020-01-01,Fire,Medium,False,False,123782,100859.0,Major,2020-05-01,settled
CLM30130,POL13417,2024-09-26,2024-09-26,Other,Low,False,True,13305,11788.0,Major,2024-11-24,settled
CLM30131,POL11214,2021-09-15,2021-09-20,Theft,Low,False,False,4022,2024.0,Minor,2021-11-18,settled
CLM30132,POL12149,2022-07-13,2022-07-15,Collision,Low,False,False,2001,1197.0,Minor,2022-09-17,settled
CLM30133,POL12388,2019-12-19,2019-12-20,Collision,Low,False,False,1560,1167.0,Minor,2020-03-09,settled
CLM30134,POL13478,2022-01-03,2022-01-03,Collision,Low,False,False,2640,1880.0,Minor,2022-02-23,settled
CLM30135,POL12136,2023-08-04,2023-08-05,Weather,Low,False,False,3660,2316.0,Minor,2023-09-10,settled
CLM30136,POL11010,2020-06-27,2020-06-27,Fire,Low,False,True,15471,8734.0,Minor,2020-09-20,settled
CLM30137,POL13766,2023-10-21,2023-10-26,Vandalism,Low,False,False,7106,5176.0,Major,2023-12-06,settled
CLM30138,POL14999,2018-10-02,2018-10-03,Weather,Low,False,False,11642,9522.0,Moderate,2018-11-17,settled
CLM30139,POL10988,2021-09-01,2021-09-01,Weather,Low,False,True,2441,1785.0,Minor,2021-11-20,settled
CLM30140,POL12254,2024-04-30,2024-05-01,Collision,Medium,False,False,6066,4277.0,Moderate,2024-08-25,settled
CLM30141,POL10255,2020-09-19,2020-09-20,Vandalism,Low,False,False,860,432.0,Minor,2020-10-28,settled
CLM30142,POL14963,2024-05-29,2024-05-29,Theft,Low,False,False,5566,4343.0,Minor,2024-08-23,settled
CLM30143,POL11364,2019-11-28,2019-11-28,Collision,Medium,False,False,9052,6422.0,Major,2020-04-05,settled
CLM30144,POL13058,2022-01-23,2022-01-24,Collision,Low,False,False,1622,855.0,Minor,2022-03-20,settled
CLM30145,POL14318,2024-05-29,2024-06-03,Weather,Medium,False,False,1770,1184.0,Minor,2024-09-27,settled
CLM30146,POL12066,2025-07-18,2025-07-18,Collision,Low,False,True,2062,1292.0,Minor,2025-08-25,settled
CLM30147,POL10779,2020-12-11,2020-12-16,Vandalism,High,False,False,21190,30048.0,Severe,2021-07-01,settled
CLM30148,POL14017,2020-06-06,2020-06-06,Vandalism,Low,False,False,2514,1868.0,Moderate,2020-08-01,settled
CLM30149,POL13151,2022-11-28,2022-11-29,Collision,Medium,False,False,39138,37652.0,Severe,2023-04-12,settled
CLM30150,POL10035,2020-07-11,2020-07-11,Collision,Medium,False,False,4050,3262.0,Moderate,2020-11-26,settled
CLM30151,POL14609,2024-10-06,2024-10-07,Weather,Low,False,False,2421,1948.0,Minor,2024-11-15,settled
CLM30152,POL12917,2024-08-30,2024-08-30,Collision,Low,False,False,2350,1315.0,Minor,2024-10-10,settled
CLM30153,POL13372,2018-09-21,2018-09-23,Fire,Low,False,False,70393,44968.0,Moderate,2018-10-25,settled
CLM30154,POL14035,2025-06-07,2025-06-09,Weather,Low,False,False,2701,7001.0,Minor,2025-09-05,settled
CLM30155,POL13645,2022-05-08,2022-05-08,Weather,High,False,True,55875,57225.0,Severe,2023-01-12,settled
CLM30156,POL13638,2024-03-12,2024-03-12,Weather,Low,False,False,7812,4922.0,Moderate,2024-06-06,settled
CLM30157,POL10974,2018-12-07,2018-12-07,Weather,Low,False,False,3015,2606.0,Minor,2019-02-27,settled
CLM30158,POL11260,2019-12-21,2019-12-21,Collision,Low,False,True,1276,959.0,Minor,2020-02-28,settled
CLM30159,POL11402,2022-10-14,2022-10-14,Collision,Low,False,True,1410,728.0,Minor,2022-12-20,settled
CLM30160,POL10136,2022-03-01,2022-03-03,Theft,Low,False,False,14726,12245.0,Moderate,2022-05-30,settled
CLM30161,POL13317,2021-05-26,2021-05-26,Collision,Low,False,False,2010,1468.0,Minor,2021-06-25,settled
CLM30162,POL12755,2019-05-14,2019-05-14,Collision,Low,False,False,5133,4143.0,Moderate,2019-08-06,settled
CLM30163,POL13261,2021-06-01,2021-06-03,Weather,Medium,False,False,61279,61730.0,Severe,2021-11-23,settled
CLM30164,POL12689,2025-01-28,2025-01-30,Fire,Medium,False,False,12904,8024.0,Minor,2025-05-28,settled
CLM30165,POL11619,2019-08-07,2019-08-08,Vandalism,Low,False,False,2386,1601.0,Moderate,2019-10-29,settled
CLM30166,POL13999,2019-09-04,2019-09-04,Collision,High,False,False,10486,9757.0,Major,2020-05-13,settled
CLM30167,POL12553,2024-03-01,2024-03-03,Collision,Low,False,False,7212,5734.0,Moderate,2024-04-11,settled
CLM30168,POL12490,2019-06-29,2019-07-02,Vandalism,Medium,False,False,4057,3812.0,Moderate,2019-10-08,settled
CLM30169,POL13145,2024-09-08,2024-09-08,Weather,Medium,False,False,5062,3339.0,Moderate,2025-02-28,settled
CLM30170,POL11481,2020-02-16,2020-02-16,Theft,Low,False,False,4183,2897.0,Minor,2020-04-20,settled
CLM30171,POL11531,2020-02-26,2020-02-29,Weather,Low,False,False,8146,7640.0,Moderate,2020-04-21,settled
CLM30172,POL13362,2024-01-17,2024-01-20,Collision,Low,False,False,2780,2194.0,Minor,2024-03-09,settled
CLM30173,POL13655,2024-11-17,2024-11-21,Weather,High,False,False,51705,52712.0,Severe,2025-07-02,settled
CLM30174,POL13305,2020-07-26,2020-08-02,Collision,High,False,False,6662,5493.0,Moderate,2021-12-12,settled
CLM30175,POL12861,2021-09-08,2021-09-15,Vandalism,Medium,False,False,1785,1474.0,Minor,2021-11-14,settled
CLM30176,POL11926,2024-08-19,2024-08-19,Vandalism,Low,False,False,1243,773.0,Minor,2024-10-01,settled
CLM30177,POL14772,2025-07-08,2025-07-11,Weather,Low,False,False,2922,2061.0,Minor,2025-09-25,settled
CLM30178,POL14046,2023-06-18,2023-06-18,Weather,Low,False,False,6551,4826.0,Moderate,2023-09-22,settled
CLM30179,POL11250,2021-02-02,2021-02-09,Collision,Low,False,False,1847,1095.0,Minor,2021-03-26,settled
CLM30180,POL12389,2024-10-05,2024-10-11,Weather,Medium,True,True,2484,1691.0,Minor,2025-01-31,settled
CLM30181,POL11750,2020-12-20,2020-12-20,Vandalism,Medium,False,False,2539,1700.0,Moderate,2021-06-24,settled
CLM30182,POL12699,2022-03-18,2022-03-18,Vandalism,Low,False,True,1022,842.0,Minor,2022-04-22,settled
CLM30183,POL12826,2023-03-11,2023-03-11,Collision,Low,False,False,1587,962.0,Minor,2023-05-30,settled
CLM30184,POL10468,2022-11-26,2022-11-26,Collision,High,False,False,27976,26088.0,Major,2023-12-05,settled
CLM30185,POL11373,2023-08-18,2023-08-23,Fire,Low,False,False,11551,6227.0,Minor,2023-11-18,settled
CLM30186,POL10504,2024-07-08,2024-07-08,Vandalism,Low,False,False,1222,957.0,Minor,2024-08-13,settled
CLM30187,POL10399,2023-10-12,2023-10-18,Theft,Low,False,False,6178,5151.0,Minor,2023-12-09,settled
CLM30188,POL14621,2020-01-27,2020-01-30,Collision,Low,False,False,1721,1276.0,Minor,2020-04-05,settled
CLM30189,POL11491,2021-06-30,2021-07-03,Collision,Medium,False,False,6085,3733.0,Moderate,2021-09-16,settled
CLM30190,POL10234,2021-03-27,2021-03-27,Collision,Low,False,False,2055,1233.0,Minor,2021-06-14,settled
CLM30191,POL10368,2019-06-08,2019-06-09,Collision,Medium,False,False,119103,104330.0,Catastrophic,2019-11-30,settled
CLM30192,POL11064,2022-07-04,2022-07-04,Collision,Low,False,False,2015,1799.0,Minor,2022-09-16,settled
CLM30193,POL10904,2018-12-14,2018-12-14,Theft,Low,False,False,8890,5204.0,Minor,2019-03-13,settled
CLM30194,POL13857,2025-04-24,2025-04-24,Collision,High,False,False,1979,1388.0,Minor,2025-11-06,settled
CLM30195,POL11429,2024-12-04,2024-12-04,Vandalism,Medium,False,True,4962,,Major,,open
CLM30196,POL13204,2021-04-18,2021-04-21,Fire,Low,False,False,15610,10433.0,Minor,2021-06-23,settled
CLM30197,POL11852,2025-04-25,2025-04-26,Fire,Low,False,False,12213,6246.0,Minor,2025-05-31,settled
CLM30198,POL12053,2021-03-09,2021-03-09,Vandalism,Medium,False,False,1327,852.0,Minor,2021-06-23,settled
CLM30199,POL12415,2018-10-18,2018-10-19,Collision,Low,False,False,2934,1642.0,Minor,2018-11-24,settled
CLM30200,POL10215,2019-07-06,2019-07-08,Collision,Low,False,False,1805,2250.0,Minor,2019-09-29,settled
CLM30201,POL12389,2019-05-18,2019-05-18,Collision,High,False,False,28727,,Severe,,open
CLM30202,POL11734,2021-04-13,2021-04-19,Collision,Medium,False,False,41295,37739.0,Severe,2021-10-31,settled
CLM30203,POL12781,2019-06-22,2019-06-22,Weather,Low,False,False,6001,7328.0,Moderate,2019-08-10,settled
CLM30204,POL14744,2019-01-25,2019-01-27,Other,Low,False,False,2332,1768.0,Minor,2019-04-20,settled
CLM30205,POL14198,2022-06-03,2022-06-04,Collision,Low,False,False,19619,18648.0,Major,2022-09-11,settled
CLM30206,POL13982,2019-07-06,2019-07-06,Collision,Medium,False,False,4840,,Moderate,,open
CLM30207,POL13784,2024-06-24,2024-06-25,Collision,Medium,False,False,44323,41404.0,Severe,2024-11-28,settled
CLM30208,POL11227,2021-05-20,2021-05-24,Collision,Low,False,True,2795,1713.0,Minor,2021-06-28,settled
CLM30209,POL14739,2021-11-02,2021-11-02,Weather,Low,False,False,6663,5836.0,Moderate,2022-01-01,settled
CLM30210,POL11349,2024-02-28,2024-03-01,Weather,Low,False,False,1822,1134.0,Minor,2024-05-24,settled
CLM30211,POL10841,2021-02-12,2021-02-13,Collision,Low,False,True,6194,4134.0,Moderate,2021-03-24,settled
CLM30212,POL10698,2024-10-05,2024-10-05,Collision,Low,False,False,2027,1724.0,Minor,2024-11-08,settled
CLM30213,POL14974,2020-03-13,2020-03-14,Vandalism,High,False,False,24553,19685.0,Severe,2021-08-28,settled
CLM30214,POL13286,2025-02-12,2025-02-15,Collision,Medium,False,False,15453,13816.0,Major,2025-06-02,settled
CLM30215,POL10570,2025-03-06,2025-03-06,Weather,Low,False,False,3650,3237.0,Minor,2025-05-25,settled
CLM30216,POL13169,2024-01-07,2024-01-08,Collision,Medium,False,False,173916,180940.0,Catastrophic,2024-08-03,settled
CLM30217,POL10889,2021-06-10,2021-06-11,Vandalism,Low,True,True,1369,1037.0,Minor,2021-07-28,settled
CLM30218,POL10052,2024-01-08,2024-01-08,Collision,Medium,False,False,14066,21002.0,Major,2024-06-02,settled
CLM30219,POL10260,2023-04-13,2023-04-13,Vandalism,Medium,False,False,1177,851.0,Minor,2023-06-18,settled
CLM30220,POL13752,2020-11-06,2020-11-06,Collision,Medium,False,False,49964,62815.0,Severe,2021-02-11,settled
CLM30221,POL12059,2019-10-10,2019-10-11,Vandalism,High,False,False,33404,33978.0,Severe,2020-09-03,settled
CLM30222,POL10810,2019-10-21,2019-10-21,Other,Low,False,True,2255,1423.0,Minor,2019-12-07,settled
CLM30223,POL12004,2023-07-20,2023-07-21,Weather,Low,False,False,1998,1631.0,Minor,2023-09-04,settled
CLM30224,POL12786,2022-09-09,2022-09-10,Vandalism,Medium,False,True,2948,1805.0,Moderate,2023-01-12,settled
CLM30225,POL11891,2023-06-19,2023-06-24,Theft,Low,False,True,13974,8869.0,Moderate,2023-08-07,settled
CLM30226,POL14782,2023-04-29,2023-04-30,Collision,Low,False,False,1637,1189.0,Minor,2023-06-01,settled
CLM30227,POL10765,2023-12-14,2023-12-15,Collision,Low,False,True,1366,1228.0,Minor,2024-03-13,settled
CLM30228,POL14184,2019-04-28,2019-04-29,Collision,Low,False,False,1620,1171.0,Minor,2019-06-18,settled
CLM30229,POL13232,2019-10-27,2019-10-30,Weather,Medium,False,False,2403,1742.0,Minor,2020-03-11,settled
CLM30230,POL12200,2019-05-25,2019-05-29,Collision,Medium,False,False,3883,4532.0,Moderate,2019-11-15,settled
CLM30231,POL13134,2023-03-26,2023-03-26,Collision,Low,False,False,1851,952.0,Minor,2023-06-07,settled
CLM30232,POL12552,2022-07-09,2022-07-09,Weather,Low,False,False,4327,3409.0,Minor,2022-08-12,settled
CLM30233,POL10877,2019-12-10,2019-12-14,Theft,Low,False,False,3668,3186.0,Minor,2020-02-22,settled
CLM30234,POL11579,2021-07-03,2021-08-02,Collision,Low,False,False,5876,5017.0,Moderate,2021-09-20,settled
CLM30235,POL11082,2020-11-11,2020-11-12,Theft,High,False,False,14807,12399.0,Moderate,2022-04-21,settled
CLM30236,POL11359,2020-11-06,2020-11-06,Weather,Low,False,False,7796,5552.0,Moderate,2020-12-29,settled
