Policy_ID,Customer_ID,Age_of_Driver,Gender,Occupation,Region,Annual_Mileage,Driving_Experience_Years,Vehicle_Type,Vehicle_Age,Credit_Score_Band
POL10076,CUST20076,71,Female,Retired,Newcastle,8990,51,Hatchback,17,Good
POL10077,CUST20077,68,Male,Retired,Manchester,18694,47,Hatchback,20,Good
POL10078,CUST20078,22,Male,Student,Manchester,10501,2,Sedan,14,Good
POL10079,CUST20079,64,Female,Retired,London,8725,45,Van,7,Fair
POL10080,CUST20080,78,Female,Retired,Newcastle,21496,59,SUV,13,Excellent
POL10081,CUST20081,68,Male,Retired,Leeds,10757,48,Hatchback,12,Fair
POL10082,CUST20082,55,Male,Employed,Cardiff,8915,37,Coupe,11,Excellent
POL10083,CUST20083,30,Female,Employed,Edinburgh,14304,10,SUV,17,Excellent
POL10084,CUST20084,64,Female,Self-Employed,Newcastle,17917,45,Sedan,5,Fair
POL10085,CUST20085,51,Male,Employed,Bristol,19944,29,Van,20,Excellent
POL10086,CUST20086,23,Female,Employed,Glasgow,15189,5,Hatchback,5,Good
POL10087,CUST20087,74,Female,Retired,Newcastle,12580,55,Sedan,11,Excellent
POL10088,CUST20088,43,Female,Self-Employed,Glasgow,5489,25,SUV,5,Good
POL10089,CUST20089,28,Male,Employed,Birmingham,12192,10,Hatchback,9,Good
POL10090,CUST20090,27,Female,Employed,Newcastle,9592,5,Sedan,8,Good
POL10091,CUST20091,41,Female,Employed,London,15041,19,Coupe,11,Good
POL10092,CUST20092,70,Female,Unemployed,Manchester,13952,48,Sedan,8,Fair
POL10093,CUST20093,77,Female,Retired,Liverpool,18320,55,Sedan,13,Good
POL10094,CUST20094,21,Male,Self-Employed,Cardiff,9996,1,SUV,0,Fair
POL10095,CUST20095,32,Male,Employed,London,19628,13,Hatchback,7,Excellent
POL10096,CUST20096,56,Male,Employed,Birmingham,6085,35,Coupe,0,Good
POL10097,CUST20097,56,Male,Unemployed,Bristol,16575,38,Hatchback,4,Fair
POL10098,CUST20098,50,Female,Employed,Manchester,13915,32,Sedan,12,Excellent
POL10099,CUST20099,53,Male,Employed,Newcastle,13334,31,Hatchback,14,Good
POL10100,CUST20100,62,Female,Employed,Birmingham,13653,42,SUV,19,Excellent
POL10101,CUST20101,27,Female,Self-Employed,Newcastle,19507,8,Van,11,Poor
POL10102,CUST20102,57,Female,Employed,London,12437,36,Coupe,4,Fair
POL10103,CUST20103,59,Male,Self-Employed,Edinburgh,14903,41,Hatchback,13,Poor
POL10104,CUST20104,39,Male,Employed,Liverpool,12222,17,Hatchback,20,Good
POL10105,CUST20105,69,Male,Retired,Cardiff,16376,49,Hatchback,10,Poor
POL10106,CUST20106,24,Female,Employed,London,10226,4,Sedan,6,Excellent
POL10107,CUST20107,70,Female,Retired,Bristol,12330,51,Sedan,20,Good
POL10108,CUST20108,34,Female,Employed,Glasgow,8803,12,Sedan,6,Good
POL10109,CUST20109,30,Female,Self-Employed,Newcastle,11341,10,Hatchback,16,Excellent
POL10110,CUST20110,47,Female,Employed,Manchester,16159,28,Hatchback,16,Good
POL10111,CUST20111,55,Male,Employed,London,7997,33,Sedan,2,Good
POL10112,CUST20112,27,Male,Self-Employed,London,15742,9,SUV,2,Excellent
POL10113,CUST20113,76,Male,Retired,Bristol,17086,58,Coupe,2,Fair
POL10114,CUST20114,45,Male,Self-Employed,Birmingham,15255,25,Motorcycle,19,Good
POL10115,CUST20115,38,Female,Employed,Manchester,8238,19,Sedan,20,Excellent
POL10116,CUST20116,78,Male,Retired,Manchester,7033,59,Hatchback,11,Fair
POL10117,CUST20117,54,Female,Unemployed,Cardiff,8734,35,Van,2,Poor
POL10118,CUST20118,39,Female,Employed,Edinburgh,13137,21,Hatchback,16,Excellent
POL10119,CUST20119,57,Female,Self-Employed,Leeds,12154,39,Sedan,10,Good
POL10120,CUST20120,43,Female,Unemployed,Manchester,5481,25,Hatchback,5,Fair
POL10121,CUST20121,40,Male,Employed,Liverpool,14207,20,Van,5,Fair
POL10122,CUST20122,51,Female,Self-Employed,Liverpool,4636,32,Hatchback,1,Excellent
POL10123,CUST20123,60,Male,Employed,Glasgow,6881,40,Sedan,20,Fair
POL10124,CUST20124,28,Female,Student,Leeds,14164,6,Hatchback,3,Good
POL10125,CUST20125,36,Male,Self-Employed,London,12531,16,SUV,1,Good
POL10126,CUST20126,19,Male,Student,Newcastle,11860,0,SUV,6,Excellent
POL10127,CUST20127,67,Male,Retired,Birmingham,19083,48,Sedan,4,Excellent
POL10128,CUST20128,76,Male,Retired,Edinburgh,12870,55,Hatchback,18,Fair
POL10129,CUST20129,38,Male,Self-Employed,Bristol,19783,20,Van,11,Excellent
POL10130,CUST20130,43,Male,Unemployed,Edinburgh,6996,21,SUV,18,Poor
POL10131,CUST20131,67,Male,Employed,Manchester,22423,46,Coupe,17,Good
POL10132,CUST20132,56,Male,Self-Employed,Newcastle,10262,37,Van,10,Good
POL10133,CUST20133,72,Male,Retired,Newcastle,10763,54,Hatchback,12,Good
POL10134,CUST20134,33,Male,Self-Employed,Manchester,14853,13,Sedan,13,Good
POL10135,CUST20135,79,Male,Retired,Liverpool,12188,58,SUV,11,Poor
POL10136,CUST20136,27,Female,Employed,Leeds,18950,9,Sedan,13,Excellent
POL10137,CUST20137,67,Female,Retired,Liverpool,12673,49,Sedan,20,Poor
POL10138,CUST20138,26,Male,Employed,Newcastle,9405,5,Hatchback,13,Good
POL10139,CUST20139,79,Male,Unemployed,Leeds,15207,58,Sedan,7,Poor
POL10140,CUST20140,71,Male,Retired,Edinburgh,11487,53,Sedan,2,Fair
POL10141,CUST20141,22,Male,Student,Leeds,9995,4,Hatchback,19,Poor
POL10142,CUST20142,78,Male,Retired,Manchester,12678,58,Coupe,5,Good
POL10143,CUST20143,78,Male,Retired,Glasgow,11987,56,Sedan,8,Good
POL10144,CUST20144,76,Female,Retired,Birmingham,14173,54,SUV,1,Good
POL10145,CUST20145,32,Female,Employed,Liverpool,16334,13,Hatchback,4,Excellent
POL10146,CUST20146,30,Female,Employed,London,15629,10,Hatchback,1,Good
POL10147,CUST20147,30,Male,Self-Employed,Newcastle,12143,10,Van,0,Excellent
POL10148,CUST20148,65,Male,Retired,Cardiff,8286,43,Van,18,Fair
POL10149,CUST20149,59,Female,Retired,Liverpool,14377,40,Coupe,13,Fair
POL10150,CUST20150,29,Male,Employed,London,8035,10,SUV,12,Fair
POL10151,CUST20151,23,Male,Unemployed,Edinburgh,12617,5,Motorcycle,14,Poor
POL10152,CUST20152,46,Female,Unemployed,Glasgow,11254,28,Coupe,16,Good
POL10153,CUST20153,18,Female,Student,Manchester,10381,0,Motorcycle,14,Poor
POL10154,CUST20154,53,Male,Employed,Leeds,16546,33,SUV,1,Excellent
POL10155,CUST20155,46,Female,Employed,Cardiff,10172,24,SUV,19,Fair
POL10156,CUST20156,64,Female,Employed,Birmingham,14600,42,SUV,5,Fair
POL10157,CUST20157,22,Male,Student,Edinburgh,11603,1,SUV,1,Excellent
POL10158,CUST20158,66,Male,Retired,Manchester,11671,45,Sedan,16,Excellent
POL10159,CUST20159,25,Male,Employed,Manchester,16469,4,Sedan,11,Excellent
POL10160,CUST20160,77,Female,Retired,Cardiff,6295,59,Sedan,20,Excellent
POL10161,CUST20161,41,Female,Employed,London,14424,19,Sedan,17,Good
POL10162,CUST20162,48,Female,Employed,Cardiff,13488,28,Hatchback,8,Excellent
POL10163,CUST20163,74,Female,Retired,Bristol,13915,53,SUV,9,Fair
POL10164,CUST20164,67,Female,Retired,London,11011,49,Coupe,6,Excellent
POL10165,CUST20165,56,Female,Self-Employed,Manchester,9272,37,Sedan,11,Excellent
POL10166,CUST20166,28,Male,Self-Employed,Bristol,18806,10,SUV,7,Poor
POL10167,CUST20167,45,Female,Self-Employed,Leeds,17532,25,Van,3,Good
POL10168,CUST20168,39,Female,Employed,Cardiff,11112,20,Sedan,11,Excellent
POL10169,CUST20169,62,Male,Employed,Leeds,7141,41,SUV,20,Good
POL10170,CUST20170,68,Female,Retired,Manchester,6755,50,Hatchback,9,Good
POL10171,CUST20171,78,Male,Retired,London,16793,57,Sedan,20,Fair
POL10172,CUST20172,78,Female,Retired,Glasgow,15495,57,Sedan,16,Good
POL10173,CUST20173,58,Female,Employed,Manchester,15072,37,Van,1,Fair
POL10174,CUST20174,56,Female,Retired,Edinburgh,17906,38,Sedan,7,Good
POL10175,CUST20175,47,Male,Self-Employed,Manchester,17520,25,Van,12,Good
POL10176,CUST20176,71,Female,Retired,Newcastle,19246,53,Hatchback,1,Fair
POL10177,CUST20177,22,Male,Student,Newcastle,15538,1,Motorcycle,14,Excellent
POL10178,CUST20178,27,Male,Employed,Edinburgh,19804,9,Hatchback,19,Good
POL10179,CUST20179,29,Male,Employed,Bristol,9640,8,Hatchback,10,Fair
POL10180,CUST20180,54,Female,Self-Employed,London,10129,33,Hatchback,19,Excellent
POL10181,CUST20181,19,Male,Student,Glasgow,19164,0,Sedan,2,Good
POL10182,CUST20182,70,Male,Retired,London,18863,49,Motorcycle,10,Excellent
POL10183,CUST20183,42,Female,Student,Leeds,15087,22,Hatchback,11,Good
POL10184,CUST20184,40,Female,Employed,Glasgow,8246,21,Sedan,7,Excellent
POL10185,CUST20185,55,Male,Retired,Manchester,14577,37,Coupe,10,Good
POL10186,CUST20186,67,Female,Retired,Newcastle,13493,47,Van,13,Poor
POL10187,CUST20187,18,Male,Unemployed,Liverpool,14028,0,SUV,1,Poor
POL10188,CUST20188,23,Male,Student,Cardiff,10952,3,Van,5,Good
POL10189,CUST20189,55,Male,Retired,Manchester,9969,33,Coupe,18,Fair
POL10190,CUST20190,18,Female,Student,Leeds,6887,0,Hatchback,0,Excellent
POL10191,CUST20191,66,Male,Retired,Edinburgh,5425,46,SUV,13,Good
POL10192,CUST20192,19,Female,Student,Liverpool,12236,0,Sedan,11,Excellent
POL10193,CUST20193,65,Male,Retired,Glasgow,16504,45,Coupe,5,Fair
POL10194,CUST20194,61,Male,Self-Employed,Liverpool,15035,43,SUV,18,Excellent
POL10195,CUST20195,38,Male,Employed,Manchester,13124,16,SUV,20,Excellent
POL10196,CUST20196,44,Male,Self-Employed,Birmingham,8684,25,Hatchback,12,Good
POL10197,CUST20197,42,Female,Employed,Edinburgh,12653,20,Sedan,16,Good
POL10198,CUST20198,59,Female,Retired,Glasgow,13908,39,Sedan,20,Fair
POL10199,CUST20199,26,Female,Employed,Edinburgh,2892,7,Hatchback,9,Poor
POL10200,CUST20200,33,Male,Employed,Liverpool,16279,12,Hatchback,9,Fair
POL10201,CUST20201,36,Female,Employed,Leeds,8348,17,Sedan,16,Fair
POL10202,CUST20202,51,Male,Employed,London,9810,31,SUV,10,Excellent
POL10203,CUST20203,31,Male,Employed,Cardiff,8248,12,Sedan,6,Good
POL10204,CUST20204,20,Female,Student,Leeds,16170,0,SUV,9,Poor
POL10205,CUST20205,62,Female,Employed,Liverpool,9920,44,SUV,8,Good
POL10206,CUST20206,76,Female,Retired,Glasgow,16954,55,Coupe,20,Excellent
POL10207,CUST20207,25,Female,Self-Employed,Edinburgh,11140,5,Sedan,1,Poor
POL10208,CUST20208,19,Female,Student,Manchester,4195,0,Sedan,4,Excellent
POL10209,CUST20209,48,Male,Employed,Edinburgh,9484,30,Coupe,11,Good
POL10210,CUST20210,29,Female,Unemployed,Leeds,7630,7,SUV,11,Excellent
POL10211,CUST20211,47,Male,Employed,Bristol,10734,28,Coupe,0,Good
POL10212,CUST20212,29,Female,Employed,Glasgow,7717,10,Hatchback,1,Poor
POL10213,CUST20213,26,Male,Employed,Glasgow,8441,7,SUV,5,Poor
POL10214,CUST20214,60,Male,Retired,Liverpool,12104,42,Sedan,17,Good
POL10215,CUST20215,47,Female,Employed,Bristol,2125,27,Coupe,19,Fair
POL10216,CUST20216,32,Male,Employed,Manchester,14849,13,Sedan,0,Poor
POL10217,CUST20217,31,Male,Self-Employed,Bristol,12480,9,Hatchback,2,Good
POL10218,CUST20218,42,Male,Employed,Newcastle,15803,21,Sedan,11,Poor
POL10219,CUST20219,49,Female,Employed,Glasgow,500,30,Sedan,5,Excellent
POL10220,CUST20220,60,Female,Self-Employed,Leeds,11146,41,Hatchback,17,Excellent
POL10221,CUST20221,73,Male,Unemployed,Birmingham,17962,55,Sedan,8,Fair
POL10222,CUST20222,63,Male,Employed,London,12642,45,Sedan,19,Excellent
POL10223,CUST20223,53,Female,Retired,Manchester,12012,31,Van,2,Good
POL10224,CUST20224,45,Female,Self-Employed,Liverpool,13672,26,Sedan,20,Excellent
POL10225,CUST20225,32,Male,Self-Employed,Edinburgh,11592,10,Sedan,20,Fair
POL10226,CUST20226,62,Male,Employed,Liverpool,11938,42,Sedan,10,Good
POL10227,CUST20227,69,Female,Retired,Edinburgh,14317,48,Van,15,Fair
POL10228,CUST20228,57,Male,Employed,Glasgow,10771,38,Van,8,Excellent
POL10229,CUST20229,73,Male,Employed,Manchester,16104,52,Sedan,0,Fair
POL10230,CUST20230,75,Female,Employed,Liverpool,11926,55,Hatchback,16,Good
POL10231,CUST20231,77,Male,Retired,Birmingham,17247,55,SUV,0,Good
POL10232,CUST20232,25,Male,Employed,Leeds,10538,5,Sedan,4,Good
POL10233,CUST20233,57,Female,Self-Employed,Glasgow,12738,37,Motorcycle,18,Good
POL10234,CUST20234,45,Male,Employed,Liverpool,17020,26,Sedan,15,Poor
POL10235,CUST20235,48,Female,Self-Employed,Cardiff,12753,30,Hatchback,17,Excellent
POL10236,CUST20236,53,Female,Employed,Cardiff,13823,34,Hatchback,3,Excellent
POL10237,CUST20237,57,Female,Self-Employed,Liverpool,20660,36,Sedan,9,Good
POL10238,CUST20238,57,Female,Employed,Cardiff,15440,38,SUV,19,Excellent
POL10239,CUST20239,38,Female,Employed,London,3481,16,Sedan,6,Fair
POL10240,CUST20240,58,Male,Employed,Liverpool,6825,38,Hatchback,10,Excellent
POL10241,CUST20241,45,Male,Self-Employed,Manchester,12936,23,SUV,19,Fair
POL10242,CUST20242,48,Male,Employed,Newcastle,8105,26,SUV,2,Excellent
POL10243,CUST20243,36,Male,Self-Employed,Leeds,4909,15,SUV,4,Excellent
POL10244,CUST20244,59,Female,Employed,London,14156,38,Sedan,9,Good
POL10245,CUST20245,42,Female,Self-Employed,Leeds,13366,22,Sedan,8,Good
POL10246,CUST20246,26,Female,Employed,Edinburgh,8860,7,Coupe,19,Good
POL10247,CUST20247,68,Male,Retired,Newcastle,14593,48,Motorcycle,3,Good
POL10248,CUST20248,21,Female,Employed,Bristol,5204,0,Sedan,6,Excellent
POL10249,CUST20249,55,Female,Employed,Cardiff,17828,33,Sedan,6,Good
POL10250,CUST20250,31,Male,Employed,Edinburgh,19445,12,SUV,18,Excellent
POL10251,CUST20251,77,Male,Retired,Birmingham,19546,55,SUV,5,Excellent
POL10252,CUST20252,53,Female,Self-Employed,Glasgow,13444,35,Sedan,19,Excellent
POL10253,CUST20253,45,Male,Self-Employed,Cardiff,9683,24,Sedan,0,Good
POL10254,CUST20254,21,Female,Employed,Bristol,13215,2,Hatchback,12,Fair
POL10255,CUST20255,47,Female,Employed,Bristol,6493,29,Van,18,Poor
POL10256,CUST20256,59,Male,Employed,Birmingham,9234,38,Coupe,9,Poor
POL10257,CUST20257,53,Female,Self-Employed,Leeds,3105,34,Van,3,Fair
POL10258,CUST20258,71,Female,Retired,Cardiff,15064,50,Sedan,11,Excellent
POL10259,CUST20259,39,Female,Employed,Leeds,16907,18,Coupe,9,Excellent
POL10260,CUST20260,71,Male,Retired,Bristol,11914,51,Sedan,10,Excellent
POL10261,CUST20261,21,Female,Student,Leeds,9011,2,SUV,10,Poor
POL10262,CUST20262,32,Female,Unemployed,Edinburgh,13949,14,Hatchback,20,Excellent
POL10263,CUST20263,20,Male,Student,Newcastle,14221,2,Hatchback,20,Good
POL10264,CUST20264,74,Male,Retired,Manchester,9570,56,Van,0,Good
POL10265,CUST20265,78,Male,Self-Employed,Edinburgh,18517,58,Sedan,16,Good
POL10266,CUST20266,23,Female,Employed,London,7618,5,SUV,1,Fair
POL10267,CUST20267,68,Male,Retired,Newcastle,11129,47,Hatchback,2,Excellent
POL10268,CUST20268,66,Female,Retired,Liverpool,10069,45,Hatchback,7,Fair
POL10269,CUST20269,39,Female,Unemployed,Cardiff,8186,20,Coupe,16,Excellent
POL10270,CUST20270,42,Female,Employed,Newcastle,8954,22,Sedan,19,Good
POL10271,CUST20271,76,Female,Retired,Liverpool,5935,56,Sedan,11,Good
POL10272,CUST20272,41,Female,Self-Employed,Glasgow,8226,23,Hatchback,15,Fair
POL10273,CUST20273,35,Female,Employed,Bristol,7504,14,Sedan,15,Fair
POL10274,CUST20274,20,Male,Student,Newcastle,22174,0,SUV,15,Excellent
POL10275,CUST20275,21,Female,Student,Bristol,12731,1,Van,11,Fair
POL10276,CUST20276,72,Female,Unemployed,Leeds,13470,53,Sedan,5,Poor
POL10277,CUST20277,76,Male,Retired,Liverpool,9535,58,Sedan,3,Fair
POL10278,CUST20278,51,Female,Employed,Liverpool,13935,31,Coupe,10,Poor
POL10279,CUST20279,61,Female,Employed,Newcastle,11058,42,Coupe,11,Good
POL10280,CUST20280,43,Female,Self-Employed,Newcastle,12974,23,Sedan,8,Fair
POL10281,CUST20281,35,Female,Self-Employed,Leeds,10163,17,Coupe,10,Fair
POL10282,CUST20282,44,Male,Employed,Manchester,16778,23,SUV,5,Fair
POL10283,CUST20283,77,Male,Retired,Leeds,7514,57,SUV,14,Good
POL10284,CUST20284,38,Male,Self-Employed,Liverpool,14055,17,Sedan,8,Fair
POL10285,CUST20285,30,Male,Employed,London,12718,10,Sedan,1,Good
POL10286,CUST20286,55,Female,Retired,Newcastle,11046,35,Hatchback,7,Fair
POL10287,CUST20287,43,Female,Employed,Cardiff,7945,23,Motorcycle,2,Fair
POL10288,CUST20288,26,Female,Employed,Leeds,16012,5,Coupe,18,Fair
POL10289,CUST20289,31,Female,Self-Employed,Glasgow,20227,13,Sedan,0,Good
POL10290,CUST20290,42,Female,Employed,Birmingham,14981,24,Sedan,3,Fair
POL10291,CUST20291,19,Male,Student,Bristol,8456,1,Motorcycle,15,Excellent
POL10292,CUST20292,66,Female,Retired,Birmingham,15409,44,Hatchback,4,Excellent
POL10293,CUST20293,54,Male,Self-Employed,Liverpool,9261,32,Hatchback,8,Good
POL10294,CUST20294,34,Female,Unemployed,London,7518,14,Van,7,Poor
POL10295,CUST20295,55,Female,Unemployed,Birmingham,11560,34,SUV,3,Good
POL10296,CUST20296,62,Male,Self-Employed,Manchester,11169,44,Hatchback,5,Excellent
POL10297,CUST20297,42,Female,Employed,Bristol,5000,23,Van,18,Excellent
POL10298,CUST20298,18,Male,Student,London,9749,0,Hatchback,16,Good
POL10299,CUST20299,55,Male,Employed,Newcastle,21112,35,Coupe,0,Good
POL10300,CUST20300,38,Male,Employed,Edinburgh,13509,20,Coupe,16,Good
POL10301,CUST20301,41,Male,Employed,Leeds,11278,23,Sedan,10,Excellent
POL10302,CUST20302,28,Male,Student,London,17922,6,SUV,11,Good
POL10303,CUST20303,50,Male,Self-Employed,Edinburgh,9162,28,Sedan,13,Excellent
POL10304,CUST20304,62,Male,Employed,Glasgow,9166,44,Hatchback,17,Excellent
POL10305,CUST20305,64,Female,Self-Employed,London,13371,46,Hatchback,18,Good
POL10306,CUST20306,56,Female,Self-Employed,Cardiff,15235,34,Sedan,17,Excellent
POL10307,CUST20307,26,Male,Employed,Birmingham,13221,5,SUV,20,Poor
POL10308,CUST20308,55,Male,Self-Employed,Newcastle,14235,34,Sedan,0,Excellent
POL10309,CUST20309,32,Female,Unemployed,London,15670,14,SUV,5,Fair
POL10310,CUST20310,71,Male,Retired,Birmingham,12324,52,SUV,11,Fair
POL10311,CUST20311,20,Male,Self-Employed,Cardiff,8780,0,SUV,3,Good
POL10312,CUST20312,41,Male,Employed,Liverpool,10383,23,Hatchback,19,Good
POL10313,CUST20313,27,Female,Employed,Birmingham,12517,7,Hatchback,10,Good
POL10314,CUST20314,55,Female,Self-Employed,Manchester,13087,37,Sedan,16,Excellent
POL10315,CUST20315,22,Female,Student,Birmingham,16632,2,Sedan,13,Excellent
POL10316,CUST20316,44,Female,Employed,Bristol,10964,25,Van,4,Poor
POL10317,CUST20317,54,Male,Retired,Glasgow,18394,35,Coupe,16,Excellent
POL10318,CUST20318,76,Male,Retired,London,5716,55,Motorcycle,8,Good
POL10319,CUST20319,51,Male,Unemployed,Leeds,7492,31,Hatchback,1,Excellent
POL10320,CUST20320,68,Female,Retired,Liverpool,12244,48,Sedan,2,Excellent
POL10321,CUST20321,51,Male,Employed,London,13975,31,Van,7,Good
POL10322,CUST20322,41,Female,Employed,Leeds,10138,23,SUV,18,Excellent
POL10323,CUST20323,44,Male,Employed,Bristol,11576,22,Hatchback,20,Fair
POL10324,CUST20324,56,Female,Employed,Newcastle,14486,35,Motorcycle,18,Good
POL10325,CUST20325,65,Female,Retired,Bristol,10521,46,Hatchback,10,Excellent
POL10326,CUST20326,41,Male,Employed,Cardiff,17450,19,Motorcycle,17,Good
POL10327,CUST20327,64,Male,Self-Employed,Leeds,8673,42,Hatchback,8,Excellent
POL10328,CUST20328,62,Male,Self-Employed,London,11458,40,Motorcycle,15,Fair
POL10329,CUST20329,39,Male,Employed,Birmingham,16014,20,Sedan,20,Good
